Name;Definition;Img;Type
" ""Chef""";a person whose job is to cook, especially the most senior person in a restaurant, hotel, etc;https://pixabay.com/vi/photos/nh%C3%A0-b%E1%BA%BFp-%C4%91%E1%BA%A7u-b%E1%BA%BFp-th%E1%BB%B1c-ph%E1%BA%A9m-%C4%91%C3%A8n-81493/;Work
" ""Teacher""";a person whose job is teaching, especially in a school;https://pixabay.com/vi/photos/gi%C3%A1o-vi%C3%AAn-n%E1%BB%AF-%C4%91%E1%BA%A1i-h%E1%BB%8Dc-sinh-vi%C3%AAn-1280966/;Work
" ""Guitarist""";a person who plays the guitar.;https://pixabay.com/vi/photos/ban-nh%E1%BA%A1c-bu%E1%BB%95i-h%C3%B2a-nh%E1%BA%A1c-2179313/;Work
" ""Waiter""";" ""a person whose job is to serve customers at their tables in a restaurant, etc.""";https://pixabay.com/vi/illustrations/nh%C3%A2n-v%E1%BA%ADt-ho%E1%BA%A1t-h%C3%ACnh-b%E1%BB%93i-b%C3%A0n-%C3%BD-t%C6%B0%E1%BB%9Fng-2947794/;Work
" ""Doctor""";a person who has been trained in medical science, whose job is to treat people who are ill or injured;https://pixabay.com/vi/vectors/c%E1%BA%ADu-b%C3%A9-phim-ho%E1%BA%A1t-h%C3%ACnh-2027768/;Work
" ""Driver""";a person who drives a vehicle;https://pixabay.com/vi/photos/xe-%C4%91%E1%BA%A1p-cu%E1%BB%99c-%C4%91ua-nhanh-xe-m%C3%A1y-biker-3319660/;Work
" ""Farmer""";a person who owns or manages a farm;https://pixabay.com/vi/vectors/n%C3%B4ng-d%C3%A2n-lao-%C4%91%E1%BB%99ng-n%C3%B4ng-th%C3%B4n-148325/;Work
" ""Photographer""";a person who takes photographs, especially as a job;https://pixabay.com/vi/vectors/ng%C6%B0%E1%BB%9Di-%C4%91%C3%A0n-%C3%B4ng-nhi%E1%BA%BFp-%E1%BA%A3nh-gia-37500/;Work
" ""Lawyer""";a person who is trained and qualified to advise people about the law and to represent them in court, and to write legal documents;https://pixabay.com/vi/vectors/lu%E1%BA%ADt-s%C6%B0-m%C3%A0u-%C4%91en-v%C3%A0-tr%E1%BA%AFng-ng%C6%B0%E1%BB%9Di-28782/;Work
" ""Engineer""";" ""a person whose job involves designing and building engines, machines, roads, bridges, etc.""";https://pixabay.com/vi/vectors/k%E1%BB%B9-s%C6%B0-ki%E1%BA%BFn-tr%C3%BAc-s%C6%B0-ng%C6%B0%E1%BB%9Di-k%E1%BA%BF-ho%E1%BA%A1ch-296438/;Work
" ""Beef""";meat that comes from a cow;"https://pixabay.com/vi/photos/b%C3%ADt-t%E1%BA%BFt-rumpsteak-li%E1%BB%87u-th%E1%BB%8Bt-b%C3%B2-2975323/""";Food
" ""Cupcake""";" ""?a small cake, baked in a paper container that is like a cup in shape and often with icing on top""";https://pixabay.com/vi/photos/b%C3%A1nh-n%C6%B0%E1%BB%9Bng-x%E1%BB%91p-n%C6%B0%E1%BB%9Bng-cupcake-ngon-1329679/;Food
" ""Hotdog""";a hot sausage served in a long bread roll;https://pixabay.com/vi/photos/hotdog-th%E1%BB%B1c-ph%E1%BA%A9m-x%C3%BAc-x%C3%ADch-m%C3%B9-t%E1%BA%A1t-4589626/;Food
" ""Salad""";" ""a mixture of raw vegetables such as lettuce, tomato and cucumber, usually served with other food as part of a meal""";https://pixabay.com/vi/photos/rau-di%E1%BA%BFp-h%E1%BB%97n-h%E1%BB%A3p-x%C3%A0-l%C3%A1ch-1812349/;Food
" ""Soup""";" ""?a liquid food made by boiling meat, vegetables, etc. in water, often eaten as the first course of a meal""";https://pixabay.com/vi/photos/s%C3%BAp-b%C3%AD-ng%C3%B4-d%E1%BB%ABa-s%C3%BAp-b%C3%AD-ng%C3%B4-%C4%83n-chay-1787997/;Food
" ""French Fry""";" ""a long thin piece of potato fried in oil or fat""";https://pixabay.com/vi/photos/khoai-t%C3%A2y-chi%C3%AAn-mu%E1%BB%91i-th%E1%BB%B1c-ph%E1%BA%A9m-923687/;Food
" ""Chip""";a long thin piece of potato fried in oil or fat;"https://pixabay.com/vi/photos/chip-munchies-pringles-843993/""";Food
" ""Pizza""";" ""an Italian dish consisting of a flat round bread base with cheese, tomatoes, vegetables, meat, etc. on top""";"https://pixabay.com/vi/photos/b%C3%A1nh-pizza-th%E1%BB%B1c-ph%E1%BA%A9m-%C3%BD-n%C6%B0%E1%BB%9Bng-3007395/""";Food
" ""Spaghetti""";?pasta in the shape of long thin pieces that look like string when they are cooked;"https://pixabay.com/vi/photos/spaghetti-m%C3%AC-%E1%BB%91ng-th%E1%BB%B1c-ph%E1%BA%A9m-nh%C3%A0-h%C3%A0ng-863304/""";Food
" ""Turkey"""; a large bird that is often kept for its meat, eaten especially at Christmas in the UK and at Thanksgiving in the US ;https://pixabay.com/vi/photos/g%C3%A0-t%C3%A2y-th%E1%BB%B1c-ph%E1%BA%A9m-t%E1%BA%A1-%C6%A1n-truy%E1%BB%81n-th%E1%BB%91ng-5069219/;Food
