_id,Name,Definition,Img,Type
5ec8ac0262d52f6c5cc7e95a,Guitarist,a person who plays the guitar.,https://pixabay.com/vi/photos/ban-nh%E1%BA%A1c-bu%E1%BB%95i-h%C3%B2a-nh%E1%BA%A1c-2179313/,Work
5ec8ac0262d52f6c5cc7e959,Teacher,"a person whose job is teaching, especially in a school",https://pixabay.com/vi/photos/gi%C3%A1o-vi%C3%AAn-n%E1%BB%AF-%C4%91%E1%BA%A1i-h%E1%BB%8Dc-sinh-vi%C3%AAn-1280966/,Work
5ec8ac0262d52f6c5cc7e958,Chef,"a person whose job is to cook, especially the most senior person in a restaurant, hotel, etc",https://pixabay.com/vi/photos/nh%C3%A0-b%E1%BA%BFp-%C4%91%E1%BA%A7u-b%E1%BA%BFp-th%E1%BB%B1c-ph%E1%BA%A9m-%C4%91%C3%A8n-81493/,Work
5ec8ac0262d52f6c5cc7e95c,Doctor,"a person who has been trained in medical science, whose job is to treat people who are ill or injured",https://pixabay.com/vi/vectors/c%E1%BA%ADu-b%C3%A9-phim-ho%E1%BA%A1t-h%C3%ACnh-2027768/,Work
5ec8ac0262d52f6c5cc7e95b,Waiter,"a person whose job is to serve customers at their tables in a restaurant, etc.",https://pixabay.com/vi/illustrations/nh%C3%A2n-v%E1%BA%ADt-ho%E1%BA%A1t-h%C3%ACnh-b%E1%BB%93i-b%C3%A0n-%C3%BD-t%C6%B0%E1%BB%9Fng-2947794/,Work
5ec8ac0262d52f6c5cc7e95f,Photographer,"a person who takes photographs, especially as a job",https://pixabay.com/vi/vectors/ng%C6%B0%E1%BB%9Di-%C4%91%C3%A0n-%C3%B4ng-nhi%E1%BA%BFp-%E1%BA%A3nh-gia-37500/,Work
5ec8ac0262d52f6c5cc7e960,Lawyer,"a person who is trained and qualified to advise people about the law and to represent them in court, and to write legal documents",https://pixabay.com/vi/vectors/lu%E1%BA%ADt-s%C6%B0-m%C3%A0u-%C4%91en-v%C3%A0-tr%E1%BA%AFng-ng%C6%B0%E1%BB%9Di-28782/,Work
5ec8ac0262d52f6c5cc7e961,Engineer,"a person whose job involves designing and building engines, machines, roads, bridges, etc.",https://pixabay.com/vi/vectors/k%E1%BB%B9-s%C6%B0-ki%E1%BA%BFn-tr%C3%BAc-s%C6%B0-ng%C6%B0%E1%BB%9Di-k%E1%BA%BF-ho%E1%BA%A1ch-296438/,Work
5ec8ac0262d52f6c5cc7e965,Salad,"a mixture of raw vegetables such as lettuce, tomato and cucumber, usually served with other food as part of a meal",https://pixabay.com/vi/photos/rau-di%E1%BA%BFp-h%E1%BB%97n-h%E1%BB%A3p-x%C3%A0-l%C3%A1ch-1812349/,Food
5ec8ac0262d52f6c5cc7e964,Hotdog,a hot sausage served in a long bread roll,https://pixabay.com/vi/photos/hotdog-th%E1%BB%B1c-ph%E1%BA%A9m-x%C3%BAc-x%C3%ADch-m%C3%B9-t%E1%BA%A1t-4589626/,Food
